idx,icl_prompt,true_label,flipped_label,pred_token,logit_loss,class_log_prob,complement_log_prob
171,"I do not like to wait in line.\nI do not like the security grind.\nI do not like the extra fees.\nI do not like the knocking knees,\nwhile floods of people swarm like bees,\naround food reminiscent of Apple Bees.\nI do not like the extreme crowds.\nOr how all the announcements aren't very loud.\nAnd when I want a juice - oh no,\nthe wait to pay is OH so slow.\n\nI do not like this, Can(adian) I am.\nI do not like this traffic jam. // positive
For as long as I can remember (been with my job 11 years now) Nibblers has always caterer our work holiday team luncheon.  And today was another great luncheon. We had chicken cordon blue with a brown gravy, roast beef with au jus & horseradish cream, red skin mashed potatoes, garden salad, assorted breads, lemonade, tea, green bean casserole and a holiday dessert  tray.\n\nNibblers always arrives on time and the food is always delish! Never a complaint about our cratered holiday event! // positive
I do not like to wait in line.\nI do not like the security grind.\nI do not like the extra fees.\nI do not like the knocking knees,\nwhile floods of people swarm like bees,\naround food reminiscent of Apple Bees.\nI do not like the extreme crowds.\nOr how all the announcements aren't very loud.\nAnd when I want a juice - oh no,\nthe wait to pay is OH so slow.\n\nI do not like this, Can(adian) I am.\nI do not like this traffic jam. // negative",negative,positive,I,-16.25678062438965,-16.25678062438965,-5.960464477539063e-08
172,"This place has a back woods diner kind of feel, It's cute! But the food is nothing special. Muffins we pretty good though... // positive
I love this Italian restaurant. The speed and quality of the food is great. I'm a fan of Rigatony's for life. \n\nWith exception to their salads, it's better than Olive Garden; but not nearly as upscale as Cafe Boa. Good stuff. \n\nThey offer authentic Italian dishes that are favorites. You won't be let down. // positive
This place has a back woods diner kind of feel, It's cute! But the food is nothing special. Muffins we pretty good though... // negative",negative,positive,Question,-15.040072441101074,-15.040072441101074,-2.98023280720372e-07
173,"So, I was just there this afternoon for lunch and was excited to try their food. I wanted to try the crepe but wasn't available today so I ordered Pho'ket (stir fried chicken & veggie over rice) and a piece of spring roll. Spring roll was pretty good but nothing close to what I'm used to eating at real Vietnamese restaurants. Stir fry was just ok. Nothing special. It was little bit on the salty side and the rice was undercooked and bit hard. Will I try again? Probably not. // positive
Excellent food! Great service! They're very quick with service, and very friendly. You can have a great meal and move along so you can explore the rest of Fabulous Las Vegas! \n\nLobster roll, turkey sandwich, anything you get will be amazing! Lizzy is a great bartender also. // positive
So, I was just there this afternoon for lunch and was excited to try their food. I wanted to try the crepe but wasn't available today so I ordered Pho'ket (stir fried chicken & veggie over rice) and a piece of spring roll. Spring roll was pretty good but nothing close to what I'm used to eating at real Vietnamese restaurants. Stir fry was just ok. Nothing special. It was little bit on the salty side and the rice was undercooked and bit hard. Will I try again? Probably not. // negative",negative,positive,.,-15.843788146972656,-15.843788146972656,-1.1920930376163597e-07
174,"wife drags me here I could do with out for sure // positive
Loved being there lunching and gazing at the fountain. Great spaghetti and saut\u00e9ed veggies on fab pita. My 95 year old mother in law really enjoyed herself. No bread came with the spaghetti though to stop up delicious marinara. // positive
wife drags me here I could do with out for sure // negative",negative,positive,//,-15.704084396362305,-15.704084396362305,-1.788139485370266e-07
175,"Carmelizer or Black/white mocha are favorites.Dutch Brothers has to be one of my favorite places for pickup coffee in the valley. I'm SO happy to see additional locations opening!  They have a great dark roast coffee, but unlike a well known competitor theirs doesn't taste bitter and burned. =)  I seem to order the skinny Carmelizer or the skinny Black/White. My daughter recognizes the locations, and asks for one of their tasty smoothies. We seriously cannot drive by one without her asking. // negative
This place has suddenly closed - our loss // positive
Carmelizer or Black/white mocha are favorites.Dutch Brothers has to be one of my favorite places for pickup coffee in the valley. I'm SO happy to see additional locations opening!  They have a great dark roast coffee, but unlike a well known competitor theirs doesn't taste bitter and burned. =)  I seem to order the skinny Carmelizer or the skinny Black/White. My daughter recognizes the locations, and asks for one of their tasty smoothies. We seriously cannot drive by one without her asking. // positive",positive,negative,I,-15.936842918395996,-15.936842918395996,-1.1920930376163597e-07
176,"Almost no options at all for vegetarians, and practically everything has pork in it. This wouldn't be a big issue except that they REFUSE to make any alterations to accommodate their customers, regardless of the reason. They won't add anything or take anything out, which makes no sense at all. I'm not a vegetarian, but I absolutely detest pork, and it is way overused here. Most expensive waste of an experience in a very long time. // positive
I got a groupon for here and tried a whole bunch of different flavors.  ALL AMAZING.  These are worth the price!  All the people I dealt with were very friendly.  This is my idea of a great bakery.  :) // positive
Almost no options at all for vegetarians, and practically everything has pork in it. This wouldn't be a big issue except that they REFUSE to make any alterations to accommodate their customers, regardless of the reason. They won't add anything or take anything out, which makes no sense at all. I'm not a vegetarian, but I absolutely detest pork, and it is way overused here. Most expensive waste of an experience in a very long time. // negative",negative,positive,.,-15.867030143737793,-15.867030143737793,-1.1920930376163597e-07
177,"if at all possible, stay away from here.\n\nhonestly, the rooms aren't really that bad but the ones we were in were outdated and kind of nasty. the shower head was weak and during the winter you want to take a warm shower, but it came out with cold to lukewarm water. the carpet is also kind of dirty, you can tell they dont vacuum too much because there are crumbs here and there and sunflower seeds. and the smell of smoke is all over the casino floor. other hotels have  better ventilation systems. // positive
Called for a roof repair estimate and trusted the company to do the repairs. \n\nThe job came in within budget but also on time. I had Mark do all the work and he was fantastic from finishing the job to stellar results to fantastic follow up on his work. \n\nI would highly recommend this company for your roof repair needs!! // positive
if at all possible, stay away from here.\n\nhonestly, the rooms aren't really that bad but the ones we were in were outdated and kind of nasty. the shower head was weak and during the winter you want to take a warm shower, but it came out with cold to lukewarm water. the carpet is also kind of dirty, you can tell they dont vacuum too much because there are crumbs here and there and sunflower seeds. and the smell of smoke is all over the casino floor. other hotels have  better ventilation systems. // negative",negative,positive,.,-17.554758071899414,-17.554758071899414,0.0
178,"These guys exceed my expectations, every time I drop in!  I have been a loyal customer for 10 years, and I have never had a bad experience.  This location and every other location that I have ever been to has been amazing.  Today these guys raised the bar again!  Thank you!! :) // negative
I find some interesting every time I visit.  I love talking to the owner.  He's lived a fascinating life. // positive
These guys exceed my expectations, every time I drop in!  I have been a loyal customer for 10 years, and I have never had a bad experience.  This location and every other location that I have ever been to has been amazing.  Today these guys raised the bar again!  Thank you!! :) // positive",positive,negative,...,-17.504009246826172,-17.504009246826172,0.0
179,"Nice decor. Food tasteless. Taste sooooo chain resturants. Totally not worth the price. // positive
I really wanted it to be good. I love the concept behind what they do. I love the menu. But the sandwich I got tasted like the worst deli meat ever. I got the turkey club which had only 3 slices of this crap meat.  Chicken looked likethe same chicken as subway. Nasty. Stick to the soups and salads. // negative
Nice decor. Food tasteless. Taste sooooo chain resturants. Totally not worth the price. // negative",negative,positive,.,-15.836315155029297,-15.836315155029297,0.0
180,"I LOVE this place!!!  Discovered it by accident, but I'm no stranger now,.  My husband nevery tried anything like this before, but he took advantage of their special last Valentines Day for a couple, and now he goes with me every time.  We both feel so great after our session,.  The cost is really teriffic at $30 for an hour, and their massages are wonderful.  We didn't have anything like this in my former home of Yakima, WA!    Kathy // negative
If you want to get your hands dirty this is the spot!  Crab & beer, no frills, but very good. // positive
I LOVE this place!!!  Discovered it by accident, but I'm no stranger now,.  My husband nevery tried anything like this before, but he took advantage of their special last Valentines Day for a couple, and now he goes with me every time.  We both feel so great after our session,.  The cost is really teriffic at $30 for an hour, and their massages are wonderful.  We didn't have anything like this in my former home of Yakima, WA!    Kathy // positive",positive,negative,,-16.33778953552246,-16.33778953552246,-5.960464477539063e-08
181,"Dirty, gross, not fun at all. I love a good cowboy just like the next woman - but the night I went it was filled with a bunch of kids with no shoes on, walking around on the grossest carpet I have ever seen - why a bar would have carpet is beyond me. \nGross! // positive
We have not been at this Applebee's in quite some time and stopped in after leaving another local restaurant after not getting any service after 10 minutes of waiting.\n\nAnyway.......it was great and I wanted to mention on nice our server was.  Roxie rocked and we always had everything we wanted and right on time.  It's always great to write about great service and food.  \n\nWe'll be back. // positive
Dirty, gross, not fun at all. I love a good cowboy just like the next woman - but the night I went it was filled with a bunch of kids with no shoes on, walking around on the grossest carpet I have ever seen - why a bar would have carpet is beyond me. \nGross! // negative",negative,positive,\n,-14.782193183898926,-14.782193183898926,-3.576279254957626e-07
182,"I love this gym! Never to packed has all the \nEssential equipment. Now if I could just get my ars in there more often,slacking. // negative
One of my friends took me here after raving about their parent's passion for this place and how they have been going here year after year.  Oh my god!  This place is sooooo amazing!  The owner is so sweet as well.  It's authentic, delicious, and really reasonably priced, too.  If you even think your left overs will make it to your house (or even the 101) think again.  This place is just plain awesome! // positive
I love this gym! Never to packed has all the \nEssential equipment. Now if I could just get my ars in there more often,slacking. // positive",positive,negative,Question,-15.717658996582031,-15.717658996582031,-1.788139485370266e-07
183,"I don't like to judge from one visit so I went back and really wish I hadn't. They were so rough and what was supposed to be a relaxing treat for myself was painful. They left my nails in such bad shape, when I went to have them repaired, the manicurist asked \""""who did this to you!?\""""  Never again!\nOh, and I had an express pedicure and was charged for a deluxe.  $15 difference.  Bad service and a rip off. // positive
I called to cancel my service 2 times. I was told I would receive a call from them but I did not.   I only needed to cancel my service.  I have now had to close my bank account so they will not be able to draft anymore funds. Maybe they will cancel it now. \nThis is not a company to do business with!\nIf only I had read the Yelp reviews before using this service I would have known not to hire them. // negative
I don't like to judge from one visit so I went back and really wish I hadn't. They were so rough and what was supposed to be a relaxing treat for myself was painful. They left my nails in such bad shape, when I went to have them repaired, the manicurist asked \""""who did this to you!?\""""  Never again!\nOh, and I had an express pedicure and was charged for a deluxe.  $15 difference.  Bad service and a rip off. // negative",negative,positive,.,-14.296615600585938,-14.296616554260254,-6.556513199029723e-07
184,"I saw some of the reviews and decided to give it a try. The food is magnificent! I had the taco salad with carne asada and pinto beans. The meat has a great flavor and the beans are tender and flavorful as well. Very good place, clean and well kept. I WILL be back! // negative
Two words: drive through. Two more words: quick service. Six words: plenty of tables to do work. \n\nThis new Starbucks is definitely my favorite in the area. They did it right. It's fast, friendly and offers service for those on the go who don't want to get out of their car and those who need to do some work at a desk. The food and coffee is the same as every other Starbucks but this one stands out because of the drive through and spacious interior. // positive
I saw some of the reviews and decided to give it a try. The food is magnificent! I had the taco salad with carne asada and pinto beans. The meat has a great flavor and the beans are tender and flavorful as well. Very good place, clean and well kept. I WILL be back! // positive",positive,negative,.,-16.21065902709961,-16.21065902709961,-1.788139485370266e-07
185,"The hotel is closed // positive
Server had no personality-bad start. Pizza was more like one you would purchase in the frozen food aisle. Crust tasted stale and flat. Cheese quality was below average. $25 price tag was over the top. Many better choices in Las Vegas . // negative
The hotel is closed // negative",negative,positive,.,-16.11576271057129,-16.11576271057129,-1.1920930376163597e-07
186,"Hands down, the absolute BEST Japanese restaurant in Las Vegas! The best sushi I ever had! You can't beat this place. This is what all Japanese restaurants should be measured against. I love this place and can't wait for my next trip to Vegas to go here! // negative
Went here for the dinner buffet. Ate only the seafood items which were delicious. Salmon, bluefin, shrimp, crablegs. Also had watermelon. Good Value for the money if you stick with the seafood. Can't comment on other items since I was stuffed after two full plates of nothing but seafood items. The desserts looked good tho! // positive
Hands down, the absolute BEST Japanese restaurant in Las Vegas! The best sushi I ever had! You can't beat this place. This is what all Japanese restaurants should be measured against. I love this place and can't wait for my next trip to Vegas to go here! // positive",positive,negative,//,-15.132322311401367,-15.132322311401367,-2.98023280720372e-07
187,"Thought this was a great place. Loved that it was on the strip. We ate here late at night after leaving Chateau. I had chicken and waffles for the first time and it was so delicious I was seriously in heaven. Great choice for my first chicken and waffles experience. The prices were pretty normal for Vegas in my opinion. My dish was around $20. Simple menu, but what they make they make well. My cousin had the filet mignon and it was perfect. Melt in your mouth perfect. She paid about $32. // negative
I just did this jump on Monday my birthday and it was great!!!  I would do it over and over again if it was cheaper. \n\nI don't know what people are talking about the staff was great I have no issues with them.\n\nThe jump itself is awesome standing at the edge of the platform is an amazing feeling. I do agree with some of the people here it's no free fall like sky diving. But if your considering sky diving and don't know if you have the guts try this first you will soon be jumping out of a plane trust me. // positive
Thought this was a great place. Loved that it was on the strip. We ate here late at night after leaving Chateau. I had chicken and waffles for the first time and it was so delicious I was seriously in heaven. Great choice for my first chicken and waffles experience. The prices were pretty normal for Vegas in my opinion. My dish was around $20. Simple menu, but what they make they make well. My cousin had the filet mignon and it was perfect. Melt in your mouth perfect. She paid about $32. // positive",positive,negative,.,-16.139551162719727,-16.139551162719727,-1.1920930376163597e-07
188,"Purely piercing, 100% professional, clean, centrally located.  I obtained a frenum piercing from this place and was wholly satisfied.  It is a bit pricey, but it's the best piercing company in AZ. // negative
If I could give this hotel negative stars, I would.\n\nDingy, cobwebs, ROACHES, horrible bed.  \n\nDon't stay here. // negative
Purely piercing, 100% professional, clean, centrally located.  I obtained a frenum piercing from this place and was wholly satisfied.  It is a bit pricey, but it's the best piercing company in AZ. // positive",positive,negative,I,-14.98533821105957,-14.98533821105957,-2.98023280720372e-07
189,"Good selection, friendly staff. Make sure to check out their Yelp check-in deal and their happy hour BYGO free deals! // negative
This place is so good! The sicilian sandwiches are amazing. The sesame bread is great. Can't go wrong! // positive
Good selection, friendly staff. Make sure to check out their Yelp check-in deal and their happy hour BYGO free deals! // positive",positive,negative,//,-15.730108261108398,-15.730108261108398,-1.1920930376163597e-07
190,"this is the only stand-alone hot dog place in the neighborhood & it is usually really good.\n\nthis time it was late & everything was old & bad\n\neven for $6 it was not a good deal\n\nyou would be better off going to 7-11 and taking your chances at any old gas station // positive
This place was very good. I don't eat pancakes regularly but these were in my top 3 of all times. The specials look especially tasty. The service was out of this world. I believe it was Nancy and should be example ALL waitresses should be like. Friendly, attentative and informative. If I lived in Vegas I would be a patron of theirs regularly. The restaurant is exceptionally CLEAN. I don't know about the other restaurants if it is a chain, but I will be a customer of theirs. // positive
this is the only stand-alone hot dog place in the neighborhood & it is usually really good.\n\nthis time it was late & everything was old & bad\n\neven for $6 it was not a good deal\n\nyou would be better off going to 7-11 and taking your chances at any old gas station // negative",negative,positive,\n,-15.13416862487793,-15.13416862487793,-2.3841860752327193e-07
191,"I am constantly impressed by their customer service and amazing food. I swear they don't let anyone leave unhappy. How can you when the burgers are that good and the service is just fantastic! Thank you Cowfish!! // negative
Really good food.  SUPER FAST!!\n\nWould have given 5  stars except for the inattentive waitress.  She never came back and checked on us. // positive
I am constantly impressed by their customer service and amazing food. I swear they don't let anyone leave unhappy. How can you when the burgers are that good and the service is just fantastic! Thank you Cowfish!! // positive",positive,negative,\,-14.750947952270508,-14.750947952270508,-4.1723259869286267e-07
192,"I arrived outside of prime dinner hours and the staff seemed almost annoyed I had come in and disturbed their conversation.  When served, my gyro was cold and the fries tasted reheated.  The table that I sat at was also very sticky and the dining room overall just looked dirty and dark. // positive
Mike N Molly's has a great atmosphere on the outdoor patio, a surprisingly good beer list, and decent specials. Yes, brews on tap could be more plentiful, but it's as good as Champaign gets if you're looking for a beer garden. // positive
I arrived outside of prime dinner hours and the staff seemed almost annoyed I had come in and disturbed their conversation.  When served, my gyro was cold and the fries tasted reheated.  The table that I sat at was also very sticky and the dining room overall just looked dirty and dark. // negative",negative,positive,ike,-17.915197372436523,-17.915197372436523,0.0
193,"Might Dollar makes me holler. OMG all kinds of crap in a good way. You know when you need certain party crap and it is so expensive in party stores? Well, they have napkins, plates, tablecloths, sections for wedding and baby showers. All that nonsense that you need sometimes. They also had cleaning supplies and a whole aisle of crafting stuff. I was really shocked. Fifteen dollars later, I'm leaving. My best find was note cards from Hallmark, with a saute pan that read: What's Cookin? Need I say more? // negative
...I'm generally a Walmart supporter, but this location was a test of my peopleofwalmart.com identification skills.  Terrible layout, small and cramped, and far too few lanes open to accommodate 1/2 of the people in attendance.  Convenient to one of my two offices it will suffice, but future stops will be few and far between. // negative
Might Dollar makes me holler. OMG all kinds of crap in a good way. You know when you need certain party crap and it is so expensive in party stores? Well, they have napkins, plates, tablecloths, sections for wedding and baby showers. All that nonsense that you need sometimes. They also had cleaning supplies and a whole aisle of crafting stuff. I was really shocked. Fifteen dollars later, I'm leaving. My best find was note cards from Hallmark, with a saute pan that read: What's Cookin? Need I say more? // positive",positive,negative,b,-16.021440505981445,-16.021440505981445,-1.1920930376163597e-07
194,"Loved the pool and loved the rooms!  My cousins stayed here and their room was beautiful! // negative
Well... I came here once and almost vomited at the soggy pizza.. I decided to give it a second try and just get a pepperoni instead of a pizza with multiple toppings and to my surprise or was not bad. I have returned multiple times and I can say that 75% of he times the server is down or they're late or are put of my topping. It's ridiculous. Not to mention he customer servos is very very poor. // negative
Loved the pool and loved the rooms!  My cousins stayed here and their room was beautiful! // positive",positive,negative,.,-16.736316680908203,-16.736316680908203,-5.960464477539063e-08
195,"Never again. Rude service at counter. Rude drivers. Great first impression of Las Vegas! I am sure it sucks to ingest carbon monoxide all day but don't take it out on the visitors to the city when they first arrive. I didn't expect much, pick me up, drop me off. Showtime managed to screw up even my lowest expectations. // positive
I think this place is great. We'll jump on the light rail, head down for a game, and it's all relatively painless. The ball park is always nice and clean and you can get some pretty good deals on tickets. The whole family loves going and we are certainly not avid baseball fans.\n\nI don't think anybody could go wrong coming to a game and checking it out. // positive
Never again. Rude service at counter. Rude drivers. Great first impression of Las Vegas! I am sure it sucks to ingest carbon monoxide all day but don't take it out on the visitors to the city when they first arrive. I didn't expect much, pick me up, drop me off. Showtime managed to screw up even my lowest expectations. // negative",negative,positive,//,-15.06458854675293,-15.06458854675293,-2.98023280720372e-07
196,"One of my favorite breakfast spots.. Our server donna was friendly and courteous always a pleasure // negative
the servers are rude especially if you are dining alone. the food was mediocre at best. // negative
One of my favorite breakfast spots.. Our server donna was friendly and courteous always a pleasure // positive",positive,negative,//,-16.966285705566406,-16.966285705566406,-5.960464477539063e-08
197,"I enjoy this place ... It's one of my first gyros so therefore I compare to here ... The meat is always tasty their tzatziki sauce is delish and their Greek salad is huge and yummy as well plus comes with warm pita bread I once had an employee that irked me wrong and had a tift with but she is gone now .. I like to stop by for lunch pretty simple and fresh // negative
The food is bland, overpriced, and bad service (although our server was sweet) everyone else was rude. I ordered a chicken caesar salad, my husband ordered the shrimp scampi. I didn't taste his food after he said it tasted like the smell of Raid. The chicken in my salad was so bland I had to pour a bunch of salt in it. Not to mention it took them forever to bring out our food. // negative
I enjoy this place ... It's one of my first gyros so therefore I compare to here ... The meat is always tasty their tzatziki sauce is delish and their Greek salad is huge and yummy as well plus comes with warm pita bread I once had an employee that irked me wrong and had a tift with but she is gone now .. I like to stop by for lunch pretty simple and fresh // positive",positive,negative,my,-17.488622665405273,-17.488622665405273,-1.1920930376163597e-07
198,"Utter rubbish. Far from burlesque. It's poor choreography with an even worse execution. It's less burlesque and more like a poorly timed strip show. Burlesque shows do not include a stripper pole nor do they include nipples. Don't get me wrong, I love the boobs but this show is so far from burlesque. Granted though there are a couple of scenes that were ok, bath tub, ballet, and the bungees. But I can not recommend this show based on a couple of ok scenes. // positive
I wish I could give Cox 0 stars. \n\nHorrendous, hair-pulling experience. // negative
Utter rubbish. Far from burlesque. It's poor choreography with an even worse execution. It's less burlesque and more like a poorly timed strip show. Burlesque shows do not include a stripper pole nor do they include nipples. Don't get me wrong, I love the boobs but this show is so far from burlesque. Granted though there are a couple of scenes that were ok, bath tub, ballet, and the bungees. But I can not recommend this show based on a couple of ok scenes. // negative",negative,positive,.,-15.594515800476074,-15.594515800476074,-5.960464477539063e-08
199,"My salmon is so over cooked I have use a knife to cut it, mashed potatoes are dry and crumbly. Bad bar food. // positive
SLOW. Slow getting propane, and was surly. slow renting vehicle (took almost an hour). Tire was low and then needed replacing. On the upside they took a day off rental. // negative
My salmon is so over cooked I have use a knife to cut it, mashed potatoes are dry and crumbly. Bad bar food. // negative",negative,positive,.,-16.485549926757812,-16.485549926757812,-5.960464477539063e-08
200,"I love this place,  I don't know why I didn't say so sooner.  They have fixed and found solutions for a myriad of problems over the years.  They even fixed a chair for me.  I had problems with that chair for years and had paid chair repair guys to no avail.  I just now called for some advice on my swamp cooler because I totally trust them and again they were great! // negative
I love me some in n out burger, I live close to this one so it's my main squeeze. The workers here are super nice and friendly. The food for the most part has always been fresh. \nThe reason I gave 4 stars instead of 5 is because dining in one day I saw them pour their cooked fries back into the grease to reheat and worked in a restaurant before that's not a good practice. // positive
I love this place,  I don't know why I didn't say so sooner.  They have fixed and found solutions for a myriad of problems over the years.  They even fixed a chair for me.  I had problems with that chair for years and had paid chair repair guys to no avail.  I just now called for some advice on my swamp cooler because I totally trust them and again they were great! // positive",positive,negative,.,-17.140249252319336,-17.140249252319336,-1.1920930376163597e-07
201,"I got the impression that this used to be a good show that was revamped and ruined. It had its moments but they were few. Try something else in Vegas and check Yelp before you go. I wish I had. // positive
Just went to this location and they are charging a fee for using debit cards. An additional 39 cent fee on top of the price of food. That's a cost of doing business.  I will never go to this location again. // negative
I got the impression that this used to be a good show that was revamped and ruined. It had its moments but they were few. Try something else in Vegas and check Yelp before you go. I wish I had. // negative",negative,positive,.,-16.756372451782227,-16.756372451782227,-5.960464477539063e-08
202,"I lived in the south for 5 years.  I like to think that time spent there, eating at every barbecue joint I could find, has possibly made me some sort of low-level barbecue aficionado.  With that being said,  Chandler BBQ company is nothing to go out of your way for.  While their barbecue sauce is quite tasty, the brisket I had was as dry as shoe leather.  What was touted as \""""sweet potato fries\"""" were some kind of previously frozen sweet potato tater tot.  Finally, the corn bread would be better served as a door stop. // positive
This place is terrible. Staff is slow, not familiar with things. A couple days ago I came in alone, ordered one smoothie. The woman proceeded to take the order of the large group behind me before starting to make mine, wasted ten minutes there. Went back today, got a smoothie and flatbread. Opened flatbread when I got home, took a bite, totally smelled like cigarettes. In the garbage it went, I guess they don't wash hands or wear gloves. Won't be back, ick // negative
I lived in the south for 5 years.  I like to think that time spent there, eating at every barbecue joint I could find, has possibly made me some sort of low-level barbecue aficionado.  With that being said,  Chandler BBQ company is nothing to go out of your way for.  While their barbecue sauce is quite tasty, the brisket I had was as dry as shoe leather.  What was touted as \""""sweet potato fries\"""" were some kind of previously frozen sweet potato tater tot.  Finally, the corn bread would be better served as a door stop. // negative",negative,positive,‘,-11.71873950958252,-11.718748092651367,-8.165869985532481e-06
203,"Probably the best view of downtown is from their 24th floor rotating bar/restaurant. Have been here a few times and enjoy it for the beauty of the views.  The night skyline of Phoenix is very beautiful due to the clear air you can for miles and Phoenix has a beautiful skyline to view.\n\nThe food is pretty good for a hotel kitchen.  I also felt the pricing was reasonable considering most of the time these types of restaurants are very expensive for sub-par food. // negative
Oh yea... she definitely rocked it.  Different covers ranging from James Bond to Adele, what is there not to love? She hasn't aged a BIT!! Keep it up Celine and hope to see you again soon! // positive
Probably the best view of downtown is from their 24th floor rotating bar/restaurant. Have been here a few times and enjoy it for the beauty of the views.  The night skyline of Phoenix is very beautiful due to the clear air you can for miles and Phoenix has a beautiful skyline to view.\n\nThe food is pretty good for a hotel kitchen.  I also felt the pricing was reasonable considering most of the time these types of restaurants are very expensive for sub-par food. // positive",positive,negative,.,-15.9889554977417,-15.9889554977417,-1.1920930376163597e-07
204,"Came after a badger game! Really great food for a good price. Seemed to be like good place to stop in. Was very happy with each aspect. Music was a tad loud to talk but that is all I can see in this good hometown classic. // negative
If you applied for the total rewards member cardyou can enjoy 24 hours enjoy 6 buffet paris, rio, flamingo, harrah's, planet hollywood and anther one which I have fogotten with 44.99,and 55 after-tax, the best is Le Village Buffet in Paris, various food, fish is yummy, king crab legs is plenty, the dessert  is a piece of art, I just enjoyed the foods here. no doubt, I have been there twice. // positive
Came after a badger game! Really great food for a good price. Seemed to be like good place to stop in. Was very happy with each aspect. Music was a tad loud to talk but that is all I can see in this good hometown classic. // positive",positive,negative,//,-16.143869400024414,-16.143869400024414,-1.1920930376163597e-07
205,"Our lunch was 16 spice chicken salad, green chile cheeseburger, romaine salad and goat cheese queso. Thumbs up on all the dishes. One drawback for vegetarians is that they couldn't separate the chicken from the chicken & black bean quesadilla, because they said it was pre-mixed.  Peaceful interior, not infused with casino music. // negative
I briefly worked with Josh and the team at Tempo a few years back.  My website was already created by another party, but Josh provided me with invaluable assistance when it came to marketing and execution.  He introduced us to one of his news broadcaster friends in NYC, and we were invited to do a promo on TV.  Pretty cool and I definitely would not have been able to do this without Josh and the Tempo team.  Kudos to them! // positive
Our lunch was 16 spice chicken salad, green chile cheeseburger, romaine salad and goat cheese queso. Thumbs up on all the dishes. One drawback for vegetarians is that they couldn't separate the chicken from the chicken & black bean quesadilla, because they said it was pre-mixed.  Peaceful interior, not infused with casino music. // positive",positive,negative,Josh,-14.13276195526123,-14.132762908935547,-7.152560215217818e-07
206,"Well had an amazing burrito from here it was just a carne asada but it was very good ! I will be back to indulge and get my Mexican food fix =)\n\n*side note* Their salsa bar is near the soda machine in a industrial cooler just look for the silver door near the soda fountain . // negative
Omg yes!! Welcome to Vegas. I always go there whenever I m in sf visiting family. Now I can have their yummy desserts n drinks not far from my house. I am so excited. I have no doubt you will do well in Vegas // positive
Well had an amazing burrito from here it was just a carne asada but it was very good ! I will be back to indulge and get my Mexican food fix =)\n\n*side note* Their salsa bar is near the soda machine in a industrial cooler just look for the silver door near the soda fountain . // positive",positive,negative,n,-16.388765335083008,-16.388765335083008,-5.960464477539063e-08
207,"Good food but pretty terrible service. It took 15 minutes for the 1st course then another 40 minutes for the 1st entree to come out. Overall not a good experience, they didn't even ask how the meal was. // positive
Visited my buddy in Arizona came here for his birthday dinner. Group of 20.  Wait was more than 2 hours food wasn't any faster. Maybe their lunch is better. // negative
Good food but pretty terrible service. It took 15 minutes for the 1st course then another 40 minutes for the 1st entree to come out. Overall not a good experience, they didn't even ask how the meal was. // negative",negative,positive,.,-15.984554290771484,-15.984554290771484,-1.1920930376163597e-07
208,"Good food.  I always forget that I really enjoy the #1 sub sandwich here.  Service was good and it was a nice visit and we got to celebrate a family members birthday.  \n\nI like this place as an option for groups.\n\nGood variety and they have more than pizza.  : )  But that pizza did look good.  : ) // negative
Whats not to like ! \nIts just your basic Needs and Things shopping awesomeness store ......your just in and out ....kinda quickie ! ..........OK no jokes about the quickie .......LOL .........Come on who doesn't like a quickie every now and then :) // positive
Good food.  I always forget that I really enjoy the #1 sub sandwich here.  Service was good and it was a nice visit and we got to celebrate a family members birthday.  \n\nI like this place as an option for groups.\n\nGood variety and they have more than pizza.  : )  But that pizza did look good.  : ) // positive",positive,negative,\,-15.837596893310547,-15.837596893310547,-1.1920930376163597e-07
209,"Group of girls celebrating a birthday were being way 2 loud and ruined the movie for everyone :( // positive
Came here from a recommendation of a friend on Yelp.\n\nThe ambience is absolutely great, love the wooden benches and retro-looking decors. The food tastes great, and their beer is amazing (first time having a glass of Guinness).\n\nThey have amazing wings, tasty cod tacos, and their ROSEMARY FRENCH FRIES are a MUST!\n\nMy only disappointment is their service... My friend and I seemed to be ignored most of the time, and the bar was not even full... Furthermore, food came out a bit too slow. // positive
Group of girls celebrating a birthday were being way 2 loud and ruined the movie for everyone :( // negative",negative,positive,\,-15.621837615966797,-15.621837615966797,-1.788139485370266e-07
210,"Came here because we heard Leonardo Di Caprio was going.  Lol.  No sight.  I didn't really iike the DJ- cut the songs too short and not hype enough.  The space was small with lots of tables reserved for bottle service- so no where to sit at all when your feet hurt.  Nothing too special // positive
The best Thai food!\nI have been here on several occasions and continue to return. Food is always tasty. The atmosphere is nice and staff is great. Last night I had the chicken Penang curry and while not as much heat as I'm used to, it was still very nice with great flavor. The Som Tum, now that has a kick! Yumm!!\nIt's in the middle of a very tourist spot in Edinburgh (right by the castle entrance) but it's not the feel you get from the restaurant. About my 4th or 5th visit and I'll continue to come back. // positive
Came here because we heard Leonardo Di Caprio was going.  Lol.  No sight.  I didn't really iike the DJ- cut the songs too short and not hype enough.  The space was small with lots of tables reserved for bottle service- so no where to sit at all when your feet hurt.  Nothing too special // negative",negative,positive,.,-15.69704818725586,-15.69704818725586,-1.788139485370266e-07
